Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
42	 389344,8123	 70627,7297	 108972772197754440000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 596868454865818900000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10897277219775444000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 59686845486581950000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 14,0333%	 15,8886%	 84,7333%	 17,1985%	 15,2667%	 17,1985%
43	 381673,1111	 74392,8502	 13331096811524603000000000000000000000000000000000000000000000,0000	 73017424399572210000000000000000000000000000000000000000000000,0000	 1333109681152460400000000000000000000000000000000000000000000000,0000	 7301742439957220000000000000000000000000000000000000000000000000,0000	 13,9667%	 17,2996%	 85,7667%	 17,0672%	 14,2333%	 17,0672%
44	 385559,4401	 71292,0552	 161865864527161880000000000000000000000000000000000000000000000000,0000	 886575852916018400000000000000000000000000000000000000000000000000,0000	 16186586452716190000000000000000000000000000000000000000000000000000,0000	 88657585291601870000000000000000000000000000000000000000000000000000,0000	 11,4000%	 15,7077%	 84,2667%	 15,2518%	 15,7333%	 15,2518%
45	 383789,1113	 72284,7987	 84437111231716550000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 462481105121839940000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 8443711123171656000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 46248110512183974000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12,6000%	 16,2748%	 86,4333%	 18,1292%	 13,5667%	 18,1292%
46	 377776,8854	 71901,3805	 249850002668671920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1368484824543576000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 24985000266867195000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 136848482454357690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12,0333%	 18,2898%	 85,1000%	 19,6247%	 14,9000%	 19,6247%
47	 381952,7430	 71488,4487	 358604409416675700000000000000000000,0000	 1964156998566406700000000000000000000,0000	 21071706222481346000000000000000000000,0000	 115414463830060400000000000000000000000,0000	 12,2333%	 18,2051%	 85,0000%	 13,7515%	 15,0000%	 13,7515%
48	 376085,4680	 69800,4728	 36576526511466603000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 200337886455160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3657652651146660000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 20033788645515985000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12,5333%	 17,7467%	 87,9333%	 13,8089%	 12,0667%	 13,8089%
49	 375596,3534	 70606,0093	 33261865064288940000000000000000000000000000000000000000000000000000000000,0000	 182182738004040720000000000000000000000000000000000000000000000000000000000,0000	 3326186506428895000000000000000000000000000000000000000000000000000000000000,0000	 18218273800404097000000000000000000000000000000000000000000000000000000000000,0000	 11,6667%	 18,4247%	 90,0333%	 12,4996%	 9,9667%	 12,4996%
50	 371763,1888	 71218,5266	 8282686097755856000000000000000000000000000000000,0000	 32550520618508495000000000000000000000000000000000,0000	 828268609775560400000000000000000000000000000000000,0000	 3255052061850730000000000000000000000000000000000000,0000	 11,4667%	 16,0102%	 87,7000%	 15,0015%	 12,3000%	 15,0015%
51	 370821,8591	 71703,7313	 379343264241378340000000000000000000000,0000	 2077592434079455000000000000000000000000,0000	 37934326424137830000000000000000000000000,0000	 207759243407945700000000000000000000000000,0000	 10,3000%	 13,5371%	 86,8333%	 13,9509%	 13,1667%	 13,9509%
