Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
76	 0,0000	 0,0000	 1340893789027458400000000000,0000	 7344377754689122000000000000,0000	 134089378902745820000000000000,0000	 734437775468912100000000000000,0000	 75,5333%	 15,0327%	 75,2000%	 14,3128%	 24,8000%	 14,3128%
77	 0,0000	 0,0000	 2606720644438287800000000000000000000000000,0000	 14277596980732540000000000000000000000000000,0000	 260672064443828770000000000000000000000000000,0000	 1427759698073253500000000000000000000000000000,0000	 74,3000%	 15,5655%	 80,2667%	 16,1586%	 19,7333%	 16,1586%
78	 0,0000	 0,0000	 2,7157	 11,7303	 255,1906	 1173,6606	 75,3000%	 15,1433%	 81,1000%	 17,2013%	 18,9000%	 17,2013%
79	 0,0000	 0,0000	 165154677423106050000000000000000000000000000000000000,0000	 904589423021243500000000000000000000000000000000000000,0000	 16515467742310604000000000000000000000000000000000000000,0000	 90458942302124390000000000000000000000000000000000000000,0000	 76,6000%	 14,0825%	 76,5333%	 17,5847%	 23,4667%	 17,5847%
80	 0,0000	 0,0000	 3,8265	 18,2174	 366,4845	 1822,3834	 75,8667%	 15,7277%	 79,5333%	 17,1841%	 20,4667%	 17,1841%
81	 0,0000	 0,0000	 939152642579002000000000000000000000000000000000000000000000000000000000,0000	 5143950872811058000000000000000000000000000000000000000000000000000000000,0000	 93915264257900190000000000000000000000000000000000000000000000000000000000,0000	 514395087281105500000000000000000000000000000000000000000000000000000000000,0000	 75,7333%	 16,2776%	 78,2000%	 16,3631%	 21,8000%	 16,3631%
82	 0,0000	 0,0000	 53295506035068570000000000,0000	 291911508690597700000000000,0000	 5329550603506856000000000000,0000	 29191150869059776000000000000,0000	 77,7333%	 14,8833%	 80,8667%	 16,9191%	 19,1333%	 16,9191%
83	 0,0000	 0,0000	 89174002140913430000000000000,0000	 488426125155922200000000000000,0000	 8917400214091345000000000000000,0000	 48842612515592230000000000000000,0000	 76,4000%	 16,1877%	 74,5000%	 17,8340%	 25,5000%	 17,8340%
84	 0,0000	 0,0000	 5589977828633396000000000000000000000000000000000,0000	 30617569524042480000000000000000000000000000000000,0000	 558997782863339550000000000000000000000000000000000,0000	 3061756952404251000000000000000000000000000000000000,0000	 77,6667%	 15,1597%	 80,2333%	 15,3481%	 19,7667%	 15,3481%
85	 0,0000	 0,0000	 705506685570258100000000000000000000000000000000000000000,0000	 3864219261575348000000000000000000000000000000000000000000,0000	 70550668557025820000000000000000000000000000000000000000000,0000	 386421926157535000000000000000000000000000000000000000000000,0000	 77,8000%	 14,8867%	 78,1667%	 16,0733%	 21,8333%	 16,0733%
86	 0,0000	 0,0000	 2456436562476666400000000000000000000000000000000000000000,0000	 13454457163489185000000000000000000000000000000000000000000,0000	 245643656247666670000000000000000000000000000000000000000000,0000	 1345445716348918600000000000000000000000000000000000000000000,0000	 76,9667%	 15,2372%	 76,8000%	 17,0484%	 23,2000%	 17,0484%
87	 0,0000	 0,0000	 94,5951	 470,9250	 9430,4854	 47055,6667	 74,9333%	 16,4441%	 80,4667%	 17,4548%	 19,5333%	 17,4548%
88	 0,0000	 0,0000	 797470113982018100000000000000000000000000000000000000000000,0000	 4367923703641672500000000000000000000000000000000000000000000,0000	 79747011398201820000000000000000000000000000000000000000000000,0000	 436792370364167350000000000000000000000000000000000000000000000,0000	 77,7000%	 14,1474%	 76,0333%	 16,3021%	 23,9667%	 16,3021%
89	 0,0000	 0,0000	 78231567271315210000000000000000000000000,0000	 428491941034822340000000000000000000000000,0000	 7823156727131520000000000000000000000000000,0000	 42849194103482210000000000000000000000000000,0000	 75,9333%	 15,7391%	 80,1333%	 17,4291%	 19,8667%	 17,4291%
90	 0,0000	 0,0000	 574346438349783800000000000000000000000000000000000000000,0000	 3145825001069268000000000000000000000000000000000000000000,0000	 57434643834978370000000000000000000000000000000000000000000,0000	 314582500106926750000000000000000000000000000000000000000000,0000	 75,8000%	 15,3856%	 78,0667%	 16,1201%	 21,9333%	 16,1201%
91	 0,0000	 0,0000	 2456436562476666400000000000000000000000000000000000000000,0000	 13454457163489185000000000000000000000000000000000000000000,0000	 245643656247666670000000000000000000000000000000000000000000,0000	 1345445716348918600000000000000000000000000000000000000000000,0000	 75,1333%	 16,3912%	 80,8333%	 14,8070%	 19,1667%	 14,8070%
92	 0,0000	 0,0000	 574346438349783800000000000000000000000000000000000000000,0000	 3145825001069268000000000000000000000000000000000000000000,0000	 57434643834978370000000000000000000000000000000000000000000,0000	 314582500106926750000000000000000000000000000000000000000000,0000	 75,7000%	 16,8383%	 80,5333%	 15,5025%	 19,4667%	 15,5025%
93	 0,0000	 0,0000	 3612268681086792000000000000000000000000000000000000000000000,0000	 19781956352116406000000000000000000000000000000000000000000000,0000	 361226868108679200000000000000000000000000000000000000000000000,0000	 1978195635211640800000000000000000000000000000000000000000000000,0000	 74,8000%	 16,9531%	 76,7000%	 16,0906%	 23,3000%	 16,0906%
94	 0,0000	 0,0000	 2456436562476666400000000000000000000000000000000000000000,0000	 13454457163489185000000000000000000000000000000000000000000,0000	 245643656247666670000000000000000000000000000000000000000000,0000	 1345445716348918600000000000000000000000000000000000000000000,0000	 73,6667%	 16,7256%	 78,0333%	 15,6876%	 21,9667%	 15,6876%
95	 0,0000	 0,0000	 195836835,3331	 1072636950,8377	 19583681756,8971	 107263695416,6728	 74,2667%	 17,8903%	 79,3333%	 17,5093%	 20,6667%	 17,5093%
96	 0,0000	 0,0000	 974,9700	 5336,4857	 97476,6464	 533645,3420	 75,7667%	 16,9109%	 77,2667%	 17,8324%	 22,7333%	 17,8324%
97	 0,0000	 0,0000	 3649623831279558000000000000000000000000000000000000000000000,0000	 19989812988002427000000000000000000000000000000000000000000000,0000	 364962383127955840000000000000000000000000000000000000000000000,0000	 1998981298800243000000000000000000000000000000000000000000000000,0000	 75,3667%	 13,3919%	 76,3000%	 14,7160%	 23,7000%	 14,7160%
98	 0,0000	 0,0000	 11697731698459807000000000,0000	 64071115161748680000000000,0000	 1169773169845980800000000000,0000	 6407111516174871000000000000,0000	 74,4667%	 15,3370%	 78,3667%	 17,3970%	 21,6333%	 17,3970%
99	 0,0000	 0,0000	 708361044253636700000000000000000,0000	 3879853227956321300000000000000000,0000	 70836104425363670000000000000000000,0000	 387985322795631900000000000000000000,0000	 74,9333%	 15,5961%	 79,8333%	 19,1169%	 20,1667%	 19,1169%
