Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev
119	 0,0000	 0,0000	 8667608009922763000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12257848800966444000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 866760800992276400000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
120	 0,0000	 0,0000	 93143673442170560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 131725046231168260000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 9314367344217056000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
121	 0,0000	 0,0000	 19992584044604260000000000000,0000	 28273783502763294000000000000,0000	 1999258404460426000000000000000,0000	 0,0000
122	 0,0000	 0,0000	 52,8262	 64,2794	 2318,8193	 0,0000
123	 0,0000	 0,0000	 118,1760	 157,0225	 2349,6845	 0,0000
124	 0,0000	 0,0000	 52,8167	 63,1841	 2368,9026	 0,0000
125	 0,0000	 0,0000	 34,8083	 41,0931	 2289,7386	 0,0000
126	 0,0000	 0,0000	 1295887893157492800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1832662233818422700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 129588789315749280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
127	 0,0000	 0,0000	 2114,0308	 2978,3933	 206035,9310	 0,0000
128	 0,0000	 0,0000	 53,1924	 66,1058	 2332,5783	 0,0000
129	 0,0000	 0,0000	 71,2306	 91,6711	 2349,6845	 0,0000
130	 0,0000	 0,0000	 52,4719	 1,6677	 4524,8653	 0,0000
131	 0,0000	 0,0000	 1109,8828	 1534,9197	 95468,2437	 0,0000
132	 0,0000	 0,0000	 63894586958501710000000000000000000000000000000000000000000000000000000,0000	 90360591438940200000000000000000000000000000000000000000000000000000000,0000	 6389458695850171000000000000000000000000000000000000000000000000000000000,0000	 0,0000
133	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
134	 0,0000	 0,0000	 765667,6309	 1082808,5258	 55824804,7246	 0,0000
135	 0,0000	 0,0000	 71,0801	 94,2411	 4260,6073	 0,0000
136	 0,0000	 0,0000	 74,2300	 97,9894	 2291,5166	 0,0000
137	 0,0000	 0,0000	 408413352537568830,0000	 577583702212882430,0000	 40841335253756850000,0000	 0,0000
138	 0,0000	 0,0000	 2024,3100	 2774,2843	 201574,8799	 0,0000
139	 0,0000	 0,0000	 44425748043690390000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 62827495401956940000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 4442574804369039000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
140	 0,0000	 0,0000	 8,4338	 6,5212	 496,0018	 0,0000
141	 0,0000	 0,0000	 19146938669745170000000000000000000000000000000000000000000000000000000000000,0000	 27077860344679486000000000000000000000000000000000000000000000000000000000000,0000	 1914693866974517000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
142	 0,0000	 0,0000	 1068754,9897	 1505982,4137	 106874248,4043	 0,0000
143	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
144	 0,0000	 0,0000	 52,1896	 69,8617	 2320,8024	 0,0000
145	 0,0000	 0,0000	 97,1870	 65,1602	 4524,8653	 0,0000
146	 0,0000	 0,0000	 15584046145459924000000000000000000000000000000000000000000000000,0000	 22039169415557580000000000000000000000000000000000000000000000000,0000	 1558404614545992300000000000000000000000000000000000000000000000000,0000	 0,0000
147	 0,0000	 0,0000	 13773,5329	 19469,5834	 1177378,4742	 0,0000
148	 0,0000	 0,0000	 6310701229087993000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 8924679266260800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 631070122908799200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
149	 0,0000	 0,0000	 375752,1841	 531091,6071	 37566401,0782	 0,0000
150	 0,0000	 0,0000	 203701389698546680000000000000000000000000000000000000000000000000000000000,0000	 288077267985931800000000000000000000000000000000000000000000000000000000000,0000	 20370138925955798000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
151	 0,0000	 0,0000	 5009269301659086000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 7084176583985483000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 500926930165908650000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
152	 0,0000	 0,0000	 742701619904423500000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1050338703665303100000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 74270161990442350000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
153	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
154	 0,0000	 0,0000	 16585785275131786000000000000000000000000000000000000000000,0000	 23455842478699348000000000000000000000000000000000000000000,0000	 1658578527513178600000000000000000000000000000000000000000000,0000	 0,0000
155	 0,0000	 0,0000	 44,4256	 51,7840	 2342,7795	 0,0000
156	 0,0000	 0,0000	 412822962030686,7000	 583819831566546,5000	 41282296203051592,0000	 0,0000
157	 0,0000	 0,0000	 291,9387	 406,3098	 25425,0270	 0,0000
158	 0,0000	 0,0000	 5291,3716	 7480,1110	 528752,0695	 0,0000
159	 0,0000	 0,0000	 595,9376	 834,8174	 54269,6857	 0,0000
160	 0,0000	 0,0000	 795,5174	 1119,9853	 69617,3982	 0,0000
161	 0,0000	 0,0000	 220673128801090940000000000000000000000000000000000,0000	 312078931601807630000000000000000000000000000000000,0000	 22067312880109092000000000000000000000000000000000000,0000	 0,0000
162	 0,0000	 0,0000	 556803,2096	 787103,7579	 55673387,0487	 0,0000
163	 0,0000	 0,0000	 59,7547	 17,3837	 4879,7555	 0,0000
164	 0,0000	 0,0000	 101027,0047	 11139,0204	 10091100,4433	 0,0000
165	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
166	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
167	 0,0000	 0,0000	 605,4428	 672,8943	 53597,4280	 0,0000
168	 0,0000	 0,0000	 543,1899	 765,5334	 48940,5448	 0,0000
169	 0,0000	 0,0000	 1333301454231051000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1885572999305322700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 133330145423105100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
170	 0,0000	 0,0000	 27,9413	 34,4971	 2290,0082	 0,0000
